Data,Inadimplência,Desemprego,IBC - Br,Ibovespa
01/06/2012,"2,27","7,6","142,28","-11,5"
01/07/2012,"2,28","7,5","147,46","3,22"
01/08/2012,"2,35","7,4","149,91","-10,1"
01/09/2012,"2,31","7,1","141,6","6,06"
01/10/2012,"2,43",7,"147,71","0,89"
01/11/2012,"2,38","6,8","144,15","6,98"
01/12/2012,"2,26","6,9","139,52","2,85"
01/01/2013,"2,27","7,3","139,32","-1,53"
01/02/2013,"2,27","7,8","136,14","-6,74"
01/03/2013,"2,2","8,1","148,01","-6,57"
01/04/2013,"2,3","7,9","149,79","-2,48"
01/05/2013,"2,27","7,7","147,03","-3,94"
01/06/2013,"2,1","7,5","144,87","0,46"
01/07/2013,"2,06","7,4","152,13","6,16"
01/08/2013,"2,01","7,2","151,81","1,94"
01/09/2013,"2,02",7,"147,27",6
01/10/2013,"2,02","6,8","151,9","-4,37"
01/11/2013,"1,94","6,6","147,79","-3,32"
01/12/2013,"1,83","6,3","145,77","9,3"
01/01/2014,"1,82","6,5","142,72","15,9"
01/02/2014,"1,86","6,8","143,53","-0,69"
01/03/2014,"1,87","7,2","149,03","-4,8"
01/04/2014,"1,89","7,2","147,69","-3,44"
01/05/2014,"1,97","7,1","147,14","8,27"
01/06/2014,"1,95","6,9","140,88","8,76"
01/07/2014,"1,98",7,"149,85","8,57"
01/08/2014,"2,03",7,"148,27","10,25"
01/09/2014,2,"6,9","148,12","-29,9"
01/10/2014,"2,05","6,7","149,7","-8,43"
01/11/2014,"1,97","6,6","144,92","-1,63"
01/12/2014,"1,89","6,6","145,48","6,85"
01/01/2015,"1,98","6,9","138,74","0,95"
01/02/2015,"1,99","7,5","136,56","2,36"
01/03/2015,"2,06",8,"149,49","3,57"
01/04/2015,"2,24","8,1","142,42","-0,67"
01/05/2015,"2,27","8,3","139,81","0,84"
01/06/2015,"2,25","8,4","138,53","4,06"
01/07/2015,"2,37","8,7","143,13","0,7"
01/08/2015,"2,43","8,9","140,83","0,98"
01/09/2015,"2,38",9,"138,06","-0,18"
01/10/2015,"2,48","9,1","140,18","-1,86"
01/11/2015,"2,63","9,1","135,94","10,82"
01/12/2015,"2,61","9,1","136,22","-1,81"
01/01/2016,"2,72","9,6","128,25","2,38"
01/02/2016,"2,78","10,4","130,81","10,19"
01/03/2016,"2,85","11,1","140,27","3,48"
01/04/2016,"3,04","11,3","136,01","-3,21"
01/05/2016,"3,17","11,3","133,54","8,88"
01/06/2016,3,"11,4","135,26","-5,2"
01/07/2016,"3,03","11,7","136,72","-10,87"
